# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, execs_so_far
1440533859, 0, 0, 1, 1, 1, 3.97%, 0, 0, 1, 256.41, 10
1440533864, 0, 0, 38, 38, 1, 4.55%, 0, 0, 2, 195.88, 818
1440533869, 0, 0, 77, 77, 1, 5.69%, 0, 0, 2, 262.76, 2123
1440533875, 0, 0, 100, 100, 1, 5.81%, 0, 0, 2, 290.70, 3660
1440533880, 0, 0, 109, 109, 1, 5.85%, 0, 0, 2, 304.48, 5255
1440533885, 0, 0, 122, 122, 1, 6.45%, 0, 0, 2, 295.00, 6768
1440533890, 0, 0, 130, 130, 1, 6.47%, 0, 0, 2, 301.99, 8381
1440533895, 0, 0, 166, 166, 1, 6.50%, 0, 0, 2, 274.15, 9688
1440533900, 0, 0, 169, 169, 1, 6.50%, 0, 0, 2, 290.41, 11203
1440533921, 0, 0, 170, 170, 1, 6.50%, 0, 0, 2, 309.98, 17642
1440533926, 0, 0, 175, 175, 1, 6.50%, 0, 0, 2, 288.06, 19136
1440533936, 0, 0, 177, 177, 1, 6.51%, 0, 0, 2, 313.20, 22420
1440533942, 0, 0, 184, 184, 1, 6.53%, 0, 0, 2, 310.30, 24014
1440533947, 0, 0, 185, 185, 1, 6.53%, 0, 0, 2, 314.48, 25596
1440533957, 0, 0, 193, 193, 1, 6.59%, 0, 0, 2, 310.54, 28707
1440533977, 0, 0, 216, 216, 1, 6.60%, 0, 0, 2, 292.97, 34978
1440533982, 0, 0, 232, 232, 1, 6.61%, 0, 0, 2, 277.55, 36359
1440533987, 0, 0, 248, 248, 1, 6.63%, 0, 0, 2, 277.22, 37752
1440533992, 0, 0, 258, 258, 1, 6.70%, 0, 0, 2, 281.77, 39156
1440533997, 0, 0, 271, 271, 1, 6.81%, 0, 0, 2, 274.70, 40541
1440534002, 0, 0, 284, 284, 1, 6.81%, 0, 0, 2, 277.37, 41941
